,location,size,total_sqft,bath,balcony,price
93,6th Phase JP Nagar,2,1213.0,2.0,1.0,63.0
94,6th Phase JP Nagar,2,1216.0,2.0,2.0,60.0
95,6th Phase JP Nagar,2,1460.0,2.0,2.0,80.0
96,6th Phase JP Nagar,3,2003.0,3.0,3.0,200.0
97,6th Phase JP Nagar,3,1810.0,3.0,3.0,131.0
98,6th Phase JP Nagar,3,1515.0,2.0,2.0,135.0
99,6th Phase JP Nagar,2,1192.0,2.0,3.0,75.0
100,6th Phase JP Nagar,2,1280.0,2.0,1.0,88.0
101,7th Phase JP Nagar,2,1080.0,2.0,2.0,72.0
102,7th Phase JP Nagar,2,1270.0,2.0,2.0,93.0
103,7th Phase JP Nagar,3,1420.0,2.0,1.0,100.0
104,7th Phase JP Nagar,3,1850.0,3.0,1.0,150.0
105,7th Phase JP Nagar,2,1245.0,2.0,1.0,94.0
106,7th Phase JP Nagar,2,1175.0,2.0,1.0,82.0
107,7th Phase JP Nagar,3,1400.0,2.0,1.0,95.0
108,7th Phase JP Nagar,3,2225.0,3.0,1.0,160.0
109,7th Phase JP Nagar,2,1050.0,2.0,1.0,71.0
110,7th Phase JP Nagar,2,1100.0,2.0,0.0,46.0
111,7th Phase JP Nagar,2,918.0,2.0,1.0,50.49
112,7th Phase JP Nagar,3,1450.0,2.0,1.0,100.0
113,7th Phase JP Nagar,2,1190.0,2.0,1.0,49.98
114,7th Phase JP Nagar,3,1420.0,2.0,2.0,96.0
115,7th Phase JP Nagar,3,1680.0,3.0,2.0,120.0
116,7th Phase JP Nagar,2,980.0,2.0,2.0,69.0
117,7th Phase JP Nagar,2,1180.0,2.0,2.0,72.0
120,7th Phase JP Nagar,3,1400.0,3.0,1.0,115.0
121,7th Phase JP Nagar,2,1270.0,2.0,1.0,83.0
123,7th Phase JP Nagar,4,2503.0,4.0,0.0,188.0
124,7th Phase JP Nagar,3,2200.0,3.0,2.0,190.0
127,7th Phase JP Nagar,3,1575.0,2.0,2.0,110.0
128,7th Phase JP Nagar,3,1850.0,3.0,2.0,140.0
129,7th Phase JP Nagar,3,1575.0,2.0,2.0,120.0
130,7th Phase JP Nagar,3,1850.0,3.0,2.0,150.0
131,7th Phase JP Nagar,3,1680.0,3.0,2.0,120.0
132,7th Phase JP Nagar,2,1175.0,2.0,2.0,82.5
135,7th Phase JP Nagar,2,1215.0,2.0,2.0,90.0
136,7th Phase JP Nagar,2,1050.0,2.0,1.0,75.0
137,7th Phase JP Nagar,3,1300.0,3.0,2.0,89.13
138,7th Phase JP Nagar,2,1130.0,2.0,2.0,73.0
139,7th Phase JP Nagar,3,1450.0,3.0,2.0,100.0
141,7th Phase JP Nagar,2,1050.0,2.0,1.0,50.0
142,7th Phase JP Nagar,2,1275.0,2.0,1.0,87.0
144,7th Phase JP Nagar,3,1650.0,3.0,2.0,110.0
145,7th Phase JP Nagar,2,850.0,2.0,2.0,42.0
146,7th Phase JP Nagar,3,1680.0,3.0,2.0,117.0
147,7th Phase JP Nagar,3,1850.0,3.0,1.0,150.0
148,7th Phase JP Nagar,2,1236.0,2.0,2.0,61.33
149,7th Phase JP Nagar,2,1000.0,2.0,2.0,53.0
150,7th Phase JP Nagar,3,1680.0,3.0,2.0,125.0
151,7th Phase JP Nagar,3,1675.0,2.0,2.0,135.0
152,7th Phase JP Nagar,2,1187.0,2.0,1.0,59.0
153,7th Phase JP Nagar,3,1850.0,3.0,2.0,155.0
154,7th Phase JP Nagar,2,1000.0,2.0,1.0,61.0
155,7th Phase JP Nagar,3,1460.0,2.0,2.0,100.0
156,7th Phase JP Nagar,3,1650.0,3.0,3.0,110.0
157,7th Phase JP Nagar,2,1200.0,2.0,2.0,62.5
158,7th Phase JP Nagar,2,1000.0,2.0,1.0,70.65
159,7th Phase JP Nagar,2,1080.0,2.0,2.0,75.0
161,7th Phase JP Nagar,3,1680.0,3.0,3.0,125.0
162,7th Phase JP Nagar,3,1460.0,2.0,1.0,97.0
163,7th Phase JP Nagar,2,1120.0,2.0,2.0,65.0
164,7th Phase JP Nagar,2,1100.0,3.0,1.0,60.0
165,7th Phase JP Nagar,3,1790.0,3.0,3.0,120.0
166,7th Phase JP Nagar,3,1680.0,3.0,2.0,117.0
167,7th Phase JP Nagar,2,1050.0,2.0,1.0,77.0
168,7th Phase JP Nagar,2,1050.0,2.0,1.0,75.0
169,7th Phase JP Nagar,2,1040.0,2.0,1.0,75.0
170,7th Phase JP Nagar,3,1400.0,2.0,1.0,95.0
171,7th Phase JP Nagar,3,1800.0,3.0,2.0,130.0
172,7th Phase JP Nagar,2,1050.0,2.0,0.0,68.0
173,7th Phase JP Nagar,2,1000.0,2.0,2.0,60.0
174,7th Phase JP Nagar,3,1680.0,3.0,2.0,125.0
175,7th Phase JP Nagar,2,1050.0,2.0,1.0,77.47
176,7th Phase JP Nagar,2,1270.0,2.0,1.0,80.0
178,7th Phase JP Nagar,3,1680.0,3.0,2.0,122.0
179,7th Phase JP Nagar,2,1130.0,2.0,2.0,85.0
180,7th Phase JP Nagar,3,1680.0,3.0,3.0,130.0
181,7th Phase JP Nagar,2,980.0,2.0,1.0,77.44
182,7th Phase JP Nagar,3,1680.0,3.0,2.0,112.0
184,7th Phase JP Nagar,3,2095.0,3.0,2.0,150.0
185,7th Phase JP Nagar,3,1976.0,3.0,1.0,145.0
186,7th Phase JP Nagar,3,1600.0,2.0,2.0,110.0
187,7th Phase JP Nagar,3,1765.0,3.0,2.0,118.0
188,7th Phase JP Nagar,3,1275.0,2.0,2.0,88.0
189,7th Phase JP Nagar,3,1450.0,2.0,1.0,102.0
190,7th Phase JP Nagar,3,1575.0,2.0,2.0,110.0
192,7th Phase JP Nagar,1,750.0,1.0,2.0,47.0
193,7th Phase JP Nagar,2,990.0,2.0,2.0,50.0
194,7th Phase JP Nagar,1,1000.0,1.0,1.0,60.0
196,7th Phase JP Nagar,3,1430.0,2.0,1.0,102.0
197,7th Phase JP Nagar,2,1128.0,2.0,1.0,60.0
198,7th Phase JP Nagar,2,1140.0,2.0,1.0,57.0
199,7th Phase JP Nagar,3,1420.0,3.0,2.0,90.0
200,7th Phase JP Nagar,2,1530.0,2.0,1.0,108.0
201,8th Phase JP Nagar,2,1073.5,2.0,0.0,54.005
203,8th Phase JP Nagar,2,1062.0,2.0,1.0,42.47
205,8th Phase JP Nagar,3,1455.0,3.0,2.0,73.31
206,8th Phase JP Nagar,2,1098.0,2.0,1.0,43.91
207,8th Phase JP Nagar,3,1800.0,3.0,1.0,80.0
208,8th Phase JP Nagar,4,2700.0,4.0,2.0,130.0
209,8th Phase JP Nagar,2,1080.0,2.0,2.0,38.0
210,8th Phase JP Nagar,2,1059.0,2.0,2.0,34.5
211,8th Phase JP Nagar,2,1080.0,2.0,2.0,35.0
213,8th Phase JP Nagar,2,1062.0,2.0,1.0,42.47
214,8th Phase JP Nagar,1,500.0,1.0,1.0,31.0
215,8th Phase JP Nagar,2,1100.0,2.0,2.0,35.0
216,8th Phase JP Nagar,4,2100.0,4.0,3.0,92.0
217,8th Phase JP Nagar,2,1035.0,2.0,1.0,39.33
218,8th Phase JP Nagar,2,909.0,2.0,1.0,40.9
219,8th Phase JP Nagar,3,1431.5,3.0,0.0,72.02
220,8th Phase JP Nagar,3,1900.0,4.0,1.0,90.0
221,8th Phase JP Nagar,1,500.0,1.0,1.0,30.0
222,8th Phase JP Nagar,2,1125.0,2.0,2.0,36.94
223,8th Phase JP Nagar,2,1100.0,2.0,3.0,35.0
224,8th Phase JP Nagar,2,1089.0,2.0,1.0,43.55
225,8th Phase JP Nagar,3,1605.0,2.0,2.0,65.0
226,8th Phase JP Nagar,3,1504.0,2.0,2.0,83.0
227,8th Phase JP Nagar,4,2600.0,4.0,2.0,115.0
229,8th Phase JP Nagar,2,1089.0,2.0,1.0,43.55
231,8th Phase JP Nagar,2,1513.0,2.0,3.0,62.0
232,8th Phase JP Nagar,2,1298.0,2.0,1.0,59.0
233,8th Phase JP Nagar,2,1006.0,2.0,0.0,44.0
234,8th Phase JP Nagar,2,1245.0,2.0,1.0,59.0
235,8th Phase JP Nagar,2,1510.0,2.0,3.0,80.0
236,8th Phase JP Nagar,3,3300.0,3.0,2.0,165.0
239,8th Phase JP Nagar,2,1046.0,2.0,1.0,48.0
241,8th Phase JP Nagar,3,1408.0,3.0,2.0,80.0
243,9th Phase JP Nagar,2,1005.0,2.0,1.0,50.0
245,9th Phase JP Nagar,2,1035.0,2.0,1.0,45.0
246,9th Phase JP Nagar,4,5000.0,4.0,3.0,290.0
247,9th Phase JP Nagar,2,1164.0,2.0,1.0,56.0
248,9th Phase JP Nagar,2,1005.0,2.0,1.0,42.0
249,9th Phase JP Nagar,2,1127.0,2.0,1.0,50.0
250,9th Phase JP Nagar,2,1005.0,2.0,1.0,43.0
251,9th Phase JP Nagar,2,835.0,2.0,0.0,37.0
252,9th Phase JP Nagar,2,1050.0,2.0,2.0,39.0
253,9th Phase JP Nagar,2,1466.0,2.0,2.0,71.0
254,9th Phase JP Nagar,3,1890.0,2.0,2.0,93.0
255,9th Phase JP Nagar,2,1079.0,2.0,1.0,60.0
256,9th Phase JP Nagar,2,1480.0,2.0,1.0,80.0
257,9th Phase JP Nagar,2,1073.0,2.0,1.0,52.36
258,9th Phase JP Nagar,3,1719.3,2.0,2.0,88.0
259,9th Phase JP Nagar,3,1780.0,3.0,2.0,88.0
263,9th Phase JP Nagar,2,890.0,2.0,2.0,45.0
264,9th Phase JP Nagar,2,1331.95,2.0,2.0,69.0
265,AECS Layout,2,1100.0,2.0,3.0,45.0
266,AECS Layout,2,1028.0,2.0,1.0,42.0
267,AECS Layout,2,1199.0,2.0,2.0,65.0
268,AECS Layout,2,1080.0,2.0,2.0,55.0
269,AECS Layout,2,1123.0,2.0,2.0,64.0
270,AECS Layout,2,1308.0,2.0,1.0,60.0
271,AECS Layout,2,1005.0,2.0,1.0,55.0
273,Abbigere,2,985.0,2.0,1.0,40.39
274,Abbigere,1,765.0,2.0,2.0,30.0
275,Abbigere,2,880.0,2.0,1.0,35.0
276,Abbigere,2,795.0,2.0,1.0,32.54
277,Abbigere,2,1005.0,2.0,1.0,39.59
279,Abbigere,2,1020.0,2.0,1.0,41.82
280,Abbigere,2,985.0,2.0,1.0,40.39
281,Abbigere,6,2500.0,6.0,0.0,81.0
282,Abbigere,2,795.0,2.0,1.0,32.54
283,Abbigere,2,1130.0,2.0,1.0,46.33
284,Abbigere,2,795.0,1.0,1.0,32.6
285,Abbigere,2,985.0,2.0,1.0,38.92
286,Abbigere,2,1000.0,2.0,1.0,41.0
287,Abbigere,2,995.0,2.0,1.0,40.8
288,Abbigere,2,1020.0,2.0,1.0,40.8
289,Akshaya Nagar,2,1388.0,2.0,3.0,57.0
290,Akshaya Nagar,2,1070.0,2.0,1.0,54.0
291,Akshaya Nagar,2,1280.0,2.0,2.0,58.0
292,Akshaya Nagar,3,1662.0,3.0,3.0,85.1
293,Akshaya Nagar,3,1897.0,3.0,2.0,120.0
294,Akshaya Nagar,3,1410.0,2.0,2.0,75.0
295,Akshaya Nagar,3,1360.0,2.0,2.0,85.0
297,Akshaya Nagar,3,1410.0,2.0,2.0,80.0
298,Akshaya Nagar,3,1662.0,3.0,2.0,85.0
299,Akshaya Nagar,3,1662.0,3.0,2.0,85.5
300,Akshaya Nagar,2,1280.0,2.0,1.0,60.0
301,Akshaya Nagar,3,1666.0,3.0,2.0,95.0
302,Akshaya Nagar,3,1575.0,3.0,2.0,90.0
303,Akshaya Nagar,3,1430.0,2.0,2.0,75.0
304,Akshaya Nagar,3,1419.0,2.0,3.0,73.0
305,Akshaya Nagar,2,1280.0,2.0,1.0,60.0
306,Akshaya Nagar,2,1200.0,2.0,1.0,50.0
307,Akshaya Nagar,2,1092.0,2.0,1.0,60.0
308,Akshaya Nagar,3,1690.0,3.0,2.0,85.0
310,Akshaya Nagar,3,1897.0,4.0,2.0,93.0
311,Akshaya Nagar,3,1884.0,3.0,3.0,98.0
312,Akshaya Nagar,2,1314.0,2.0,2.0,68.8
313,Akshaya Nagar,3,1690.0,3.0,2.0,85.0
314,Akshaya Nagar,2,1265.0,2.0,3.0,67.0
315,Akshaya Nagar,2,1126.0,2.0,1.0,55.0
317,Akshaya Nagar,3,1662.0,3.0,2.0,90.0
318,Akshaya Nagar,3,1420.0,2.0,2.0,75.0
319,Akshaya Nagar,3,1412.0,2.0,3.0,88.0
320,Akshaya Nagar,3,1434.0,3.0,3.0,84.0
321,Akshaya Nagar,3,1890.0,4.0,2.0,100.0
323,Akshaya Nagar,3,1419.0,2.0,3.0,87.0
324,Akshaya Nagar,2,1300.0,2.0,1.0,54.0
325,Akshaya Nagar,3,1690.0,3.0,2.0,85.0
326,Akshaya Nagar,2,1113.0,2.0,1.0,52.0
327,Akshaya Nagar,3,1820.0,4.0,2.0,95.0
328,Akshaya Nagar,2,1100.0,2.0,2.0,48.0
329,Akshaya Nagar,3,1896.0,3.0,2.0,102.0
330,Akshaya Nagar,2,1300.0,2.0,2.0,66.0
331,Akshaya Nagar,2,1225.0,2.0,0.0,68.0
332,Akshaya Nagar,2,1179.0,2.0,1.0,51.0
333,Akshaya Nagar,3,1421.0,2.0,2.0,73.0
334,Akshaya Nagar,3,1893.0,4.0,2.0,95.0
335,Akshaya Nagar,2,900.0,2.0,1.0,45.0
336,Ambalipura,2,1105.0,2.0,1.0,75.0
337,Ambalipura,3,1800.0,3.0,3.0,110.0
338,Ambalipura,2,1150.0,2.0,2.0,80.0
339,Ambalipura,2,1250.0,2.0,2.0,66.25
340,Ambalipura,2,1332.0,2.0,1.0,79.0
341,Ambalipura,3,1730.0,3.0,1.0,120.0
343,Ambalipura,2,1230.0,2.0,2.0,66.25
344,Ambalipura,2,1351.0,2.0,1.0,77.0
348,Ambalipura,2,1303.0,2.0,2.0,80.0
349,Ambalipura,3,1607.0,2.0,2.0,112.0
350,Ambalipura,1,770.0,1.0,2.0,43.82
351,Ambalipura,2,1700.0,2.0,2.0,76.0
352,Ambalipura,2,1060.0,2.0,1.0,58.5
353,Ambalipura,3,1650.0,3.0,3.0,100.0
354,Ambalipura,3,1607.0,2.0,2.0,112.0
355,Ambalipura,2,1198.0,2.0,2.0,80.0
356,Ambedkar Nagar,3,1935.0,4.0,2.0,130.0
357,Ambedkar Nagar,2,1424.0,2.0,2.0,90.0
358,Ambedkar Nagar,3,2225.0,4.0,2.0,169.0
359,Ambedkar Nagar,3,1862.0,3.0,2.0,120.0
360,Ambedkar Nagar,3,1850.0,4.0,3.0,139.0
361,Ambedkar Nagar,3,1936.0,4.0,2.0,126.0
362,Ambedkar Nagar,3,1862.0,3.0,2.0,119.0
363,Ambedkar Nagar,2,1424.0,2.0,2.0,90.0
364,Ambedkar Nagar,3,2150.0,4.0,2.0,125.0
365,Ambedkar Nagar,4,3530.0,4.0,2.0,290.0
366,Ambedkar Nagar,3,1856.0,3.0,1.0,120.0
367,Ambedkar Nagar,3,1852.0,3.0,2.0,130.0
368,Ambedkar Nagar,3,1850.0,4.0,2.0,120.0
369,Ambedkar Nagar,2,1367.0,2.0,2.0,86.0
370,Ambedkar Nagar,4,3565.0,4.0,3.0,255.0
371,Ambedkar Nagar,2,1409.0,2.0,2.0,95.0
372,Ambedkar Nagar,3,1950.0,4.0,2.0,120.0
373,Ambedkar Nagar,3,1921.0,4.0,3.0,129.0
374,Ambedkar Nagar,3,1920.0,4.0,2.0,121.0
375,Ambedkar Nagar,3,1935.0,4.0,2.0,125.0
376,Ambedkar Nagar,3,1852.0,4.0,2.0,122.0
377,Ambedkar Nagar,3,1950.0,4.0,2.0,120.0
378,Ambedkar Nagar,3,1852.0,3.0,2.0,125.0
379,Ambedkar Nagar,3,1850.0,4.0,2.0,121.0
380,Ambedkar Nagar,2,1425.0,2.0,1.0,94.0
381,Ambedkar Nagar,3,2395.0,4.0,2.0,150.0
382,Amruthahalli,2,900.0,2.0,1.0,40.0
383,Amruthahalli,2,1200.0,2.0,2.0,55.0
384,Amruthahalli,3,1900.0,3.0,1.0,135.0
385,Amruthahalli,2,924.0,2.0,1.0,45.0
386,Amruthahalli,2,900.0,2.0,1.0,60.0
387,Amruthahalli,2,1100.0,2.0,1.0,45.0
388,Amruthahalli,2,1200.0,2.0,1.0,55.0
392,Amruthahalli,3,1450.0,2.0,1.0,85.0
393,Amruthahalli,2,1200.0,2.0,2.0,55.0
394,Amruthahalli,2,1250.0,2.0,2.0,79.0
395,Amruthahalli,2,1190.0,2.0,2.0,50.0
396,Amruthahalli,2,1202.0,2.0,1.0,65.0
397,Amruthahalli,2,1340.0,2.0,1.0,75.0
398,Amruthahalli,3,2650.0,4.0,0.0,175.0
399,Amruthahalli,3,1450.0,2.0,1.0,90.0
400,Amruthahalli,2,1025.0,2.0,1.0,42.0
401,Amruthahalli,1,485.0,1.0,1.0,19.5
402,Anandapura,2,1167.0,2.0,1.0,43.76
403,Anandapura,2,1000.0,2.0,1.0,55.0
404,Anandapura,2,1141.0,2.0,1.0,42.79
406,Anandapura,2,1200.0,2.0,1.0,58.0
407,Anandapura,2,1151.0,2.0,1.0,43.1
408,Anandapura,2,1141.0,2.0,1.0,42.75
409,Anandapura,2,900.0,2.0,0.0,48.0
410,Anandapura,4,1749.0,4.0,0.0,90.0
411,Anandapura,2,1151.0,2.0,1.0,42.9
413,Anandapura,2,1250.0,2.0,2.0,45.0
414,Anandapura,2,1151.0,2.0,1.0,43.16
415,Anandapura,2,1200.0,2.0,0.0,58.0
416,Anandapura,3,1200.0,2.0,0.0,66.0
417,Anandapura,3,1415.0,2.0,1.0,74.0
418,Anandapura,2,1200.0,2.0,1.0,50.0
419,Anandapura,2,1141.0,2.0,1.0,50.0
421,Ananth Nagar,1,500.0,1.0,1.0,14.0
422,Ananth Nagar,2,1100.0,2.0,2.0,31.5
423,Ananth Nagar,2,982.0,2.0,2.0,24.55
424,Ananth Nagar,1,500.0,2.0,2.0,14.0
425,Ananth Nagar,2,900.0,2.0,2.0,22.5
426,Ananth Nagar,2,908.0,2.0,1.0,26.0
427,Ananth Nagar,2,937.0,2.0,1.0,35.0
428,Ananth Nagar,2,960.0,2.0,3.0,37.0
429,Ananth Nagar,1,500.0,1.0,1.0,14.0
430,Ananth Nagar,2,1000.0,2.0,1.0,29.7
431,Ananth Nagar,2,850.0,2.0,1.0,25.99
432,Ananth Nagar,2,902.0,2.0,1.0,25.26
433,Ananth Nagar,3,1470.0,3.0,2.0,54.0
434,Ananth Nagar,2,810.0,2.0,1.0,25.5
435,Ananth Nagar,2,890.0,2.0,1.0,27.0
436,Ananth Nagar,2,1200.0,2.0,1.0,36.0
438,Ananth Nagar,3,1319.0,3.0,1.0,42.0
439,Ananth Nagar,2,1000.0,2.0,3.0,25.0
440,Ananth Nagar,2,902.0,2.0,2.0,25.0
441,Ananth Nagar,2,930.0,2.0,1.0,25.99
442,Ananth Nagar,2,1074.0,2.0,2.0,26.85
443,Ananth Nagar,1,500.0,1.0,1.0,14.0
444,Ananth Nagar,2,1010.0,2.0,2.0,38.0
445,Ananth Nagar,2,992.0,2.0,2.0,24.8
446,Anekal,2,1200.0,1.0,1.0,36.0
447,Anekal,1,600.0,1.0,1.0,16.5
448,Anekal,2,925.0,2.0,1.0,40.0
449,Anekal,1,530.0,1.0,1.0,18.0
450,Anekal,3,1800.0,3.0,2.0,68.0
451,Anekal,2,1200.0,1.0,1.0,36.0
452,Anekal,2,1035.0,2.0,2.0,38.3
453,Anekal,2,888.0,2.0,1.0,34.0
454,Anekal,2,1200.0,2.0,1.0,36.1
455,Anekal,2,1200.0,1.0,1.0,36.0
456,Anekal,2,766.0,2.0,2.0,28.0
457,Anekal,3,1150.0,3.0,2.0,45.0
458,Anekal,2,1200.0,1.0,1.0,36.0
459,Anekal,2,1200.0,1.0,1.0,36.0
460,Anekal,1,400.0,1.0,1.0,11.5
461,Anekal,1,456.0,1.0,1.0,15.0
462,Anekal,2,1200.0,1.0,1.0,36.0
463,Anekal,2,1200.0,1.0,1.0,36.0
464,Anekal,3,2400.0,4.0,0.0,95.0
465,Anekal,2,1200.0,2.0,1.0,36.1
466,Anekal,2,1200.0,2.0,1.0,36.1
467,Anekal,1,420.0,1.0,1.0,12.5
468,Anekal,2,1140.0,2.0,2.0,52.0
469,Anjanapura,4,1850.0,4.0,2.0,86.0
470,Anjanapura,2,1070.0,2.0,2.0,39.0
471,Anjanapura,3,1500.0,3.0,1.0,121.0
472,Anjanapura,2,1070.0,2.0,2.0,37.0
473,Anjanapura,2,950.0,2.0,1.0,40.0
474,Anjanapura,3,1280.0,2.0,2.0,45.0
475,Anjanapura,2,710.0,2.0,0.0,25.0
477,Anjanapura,2,950.0,2.0,0.0,32.0
478,Anjanapura,4,1800.0,4.0,2.0,55.0
479,Anjanapura,3,1843.0,3.0,1.0,87.54
480,Anjanapura,2,1076.0,2.0,1.0,30.13
481,Anjanapura,2,950.0,2.0,0.0,30.0
482,Ardendale,3,1750.0,3.0,2.0,100.0
483,Ardendale,4,3198.0,4.0,3.0,200.0
484,Ardendale,4,2422.0,4.0,2.0,160.0
485,Ardendale,3,1750.0,3.0,3.0,100.0
486,Ardendale,4,3200.0,4.0,1.0,205.0
487,Ardendale,3,1728.0,3.0,2.0,95.0
488,Ardendale,4,2062.0,3.0,2.0,140.0
489,Ardendale,3,1732.46,3.0,2.0,92.0
490,Ardendale,4,2062.0,3.0,2.0,150.0
492,Ardendale,2,1224.0,2.0,2.0,70.0
493,Ardendale,3,1777.26,3.0,2.0,105.0
494,Ardendale,3,1650.0,3.0,3.0,82.0
495,Ardendale,4,2062.0,3.0,2.0,140.0
496,Ardendale,3,1650.0,3.0,3.0,82.0
497,Ardendale,2,1224.0,2.0,2.0,67.0
498,Ardendale,3,1723.0,3.0,2.0,95.0
499,Ardendale,3,1777.26,3.0,2.0,89.0
500,Ardendale,3,1777.26,3.0,2.0,92.0
501,Arekere,3,2060.0,3.0,2.0,140.0
502,Arekere,9,4125.0,9.0,2.0,265.0
503,Arekere,3,1740.0,2.0,2.0,95.0
504,Arekere,2,1190.0,2.0,2.0,55.0
505,Arekere,1,600.0,1.0,1.0,28.0
506,Arekere,3,2072.0,3.0,2.0,108.0
507,Arekere,2,1100.0,2.0,2.0,55.0
508,Arekere,2,900.0,2.0,3.0,50.0
